Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Year,Sales,Critic_Score_boxcox,User_Score_boxcox
11881,BlazBlue: Calamity Trigger Portable,3,5,11,2,5,7.9,8.4,2010.0,0.11,2.0209463807291033,1.196998564812187
11998,Ys VIII: Lacrimosa of Dana,10,3,4,23,82,8.5,6.7,2018.0,0.11,2.0908656916242108,1.1301059483164222
12662,F.E.A.R. 2: Project Origin,11,6,5,41,76,8.2,8.5,2009.0,0.09,2.056559641105323,1.2002538631850523
12925,Ratchet & Clank Future: Quest for Booty,7,4,10,32,57,7.7,8.7,2008.0,0.09,1.9964279097031141,1.2065836290555187
12996,Battle Fantasia,3,5,15,2,5,7.0,8.0,2008.0,0.09,1.9051750086008348,1.1833291027698085
13801,Disaster: Day of Crisis,0,3,13,27,77,6.4,8.0,2008.0,0.07,1.81920428920658,1.1833291027698085
14288,Crimson Gem Saga,10,5,11,4,59,7.3,8.0,2009.0,0.06,1.945376210998866,1.1833291027698085
15321,Wonder Boy: The Dragon's Trap (Remake),7,4,4,8,70,7.4,7.5,2017.0,0.05,1.9584023628786658,1.1646165300732292
15501,Devil's Third,0,6,14,27,132,3.8,5.7,2015.0,0.05,1.315743331144938,1.0763602512126331
15547,Wolfenstein,11,6,5,1,95,6.5,8.0,2009.0,0.04,1.83409048386904,1.1833291027698085
15649,RollerCoaster Tycoon,12,3,5,20,24,8.7,9.7,1999.0,0.04,2.113055822886608,1.2350418743440592
16143,Monster Boy and the Cursed Kingdom,1,4,4,12,47,8.0,9.5,2018.0,0.04,2.032968794763432,1.229736527294403
16764,Submarine Titans,14,3,5,36,38,6.1,9.0,2000.0,0.03,1.7730767461949912,1.2156525053377367
16872,Penny-Punching Princess,5,5,4,23,87,6.5,9.0,2018.0,0.03,1.83409048386904,1.2156525053377367
17603,Left 4 Dead,11,6,5,40,133,8.6,8.5,2008.0,0.02,2.102026672523484,1.2002538631850523
17649,Mount & Blade,10,5,5,28,117,7.2,8.8,2008.0,0.02,1.9321664340651772,1.209661675777561
17899,Runner3,7,4,4,26,23,7.5,9.0,2018.0,0.02,1.9712498725148517,1.2156525053377367
20401,Sid Meier's Civilization II,14,3,5,20,71,9.1,9.7,1996.0,0.0,2.155913504177124,1.2350418743440592
22335,Alien Breed 1: Evolution,11,5,17,38,121,6.7,6.0,2009.0,0.0,1.8631733327726454,1.0939876565932412
24548,Bionic Commando Rearmed,7,6,17,7,45,8.7,9.5,2008.0,0.0,2.113055822886608,1.229736527294403
25715,Call of Duty Classic,11,5,17,1,56,7.5,6.8,2009.0,0.0,1.9712498725148517,1.1347741517833403
31146,flower,2,3,10,32,142,8.8,9.0,2009.0,0.0,2.1239561885789233,1.2156525053377367
31404,Frogger,0,3,17,17,31,6.4,8.0,2006.0,0.0,1.81920428920658,1.1833291027698085
32541,Gravity Crash,11,3,10,32,60,6.5,6.0,2009.0,0.0,1.83409048386904,1.0939876565932412
38335,Monsters (Probably) Stole My Princess!,7,4,10,19,74,8.4,9.0,2010.0,0.0,2.079569725380676,1.2156525053377367
43105,Robotron: 2084,11,3,17,22,31,7.5,7.5,2005.0,0.0,1.9712498725148517,1.1646165300732292
48499,The Legend of Zelda Collector's Edition,2,3,2,27,86,10.0,10.0,2003.0,0.0,2.2456949546011677,1.2426789098694524
51098,Water Warfare,11,4,12,14,55,7.2,7.9,2009.0,0.0,1.9321664340651772,1.1797390349054808
54538,Perception,2,3,4,13,122,6.0,7.9,2017.0,0.0,1.757184108388042,1.1797390349054808
55424,Thumper,6,4,4,9,32,9.0,9.3,2017.0,0.0,2.1453822341237494,1.2242488507217923
66666,FakeGame,6,3,4,9,32,29.0,64.0,2018.0,0.0,3.2465591227583652,1.519776039791655
