Rank,Name,Platform,Publisher,Developer,Year,Sales,Sales_scaled,ESRB_Rating_scaled,Genre_scaled,Platform_scaled,Publisher_scaled,Developer_scaled,Year_scaled,Critic_Score_boxcox_scaled,User_Score_boxcox_scaled
3251,Star Ocean: The Last Hope International,8,35,143,2010.0,0.73,0.019655358104469573,0.6666666666666665,0.7142857142857142,0.4444444444444444,0.813953488372093,1.0,0.636363636363626,0.40235640261615,0.5196361088742993
3314,Silent Hill 3,7,17,120,2003.0,0.71,0.019116855142703282,1.0,0.14285714285714285,0.38888888888888884,0.3953488372093023,0.8391608391608392,0.318181818181813,0.4196289903587781,0.49631012983250167
3438,The Last Remnant,15,35,114,2008.0,0.68,0.01830910070005385,1.0,0.7142857142857142,0.8333333333333333,0.813953488372093,0.7972027972027972,0.5454545454545467,0.29754644568252986,0.44277606029051264
3625,New Play Control! Pikmin,13,27,83,2009.0,0.64,0.01723209477652127,0.0,1.0,0.7222222222222222,0.627906976744186,0.5804195804195804,0.5909090909090935,0.3782806288255718,0.5105474104105558
3634,Phantasy Star Portable,11,31,4,2009.0,0.64,0.01723209477652127,0.6666666666666665,0.7142857142857142,0.611111111111111,0.7209302325581395,0.027972027972027972,0.5909090909090935,0.3396584665698803,0.5011395237686023
3700,Okami,7,7,29,2006.0,0.63,0.016962843295638123,0.6666666666666665,0.14285714285714285,0.38888888888888884,0.16279069767441862,0.20279720279720279,0.45454545454545325,0.47296304048700166,0.49631012983250167
3732,Red Steel 2,13,39,127,2010.0,0.62,0.01669359181475498,0.6666666666666665,0.7857142857142857,0.7222222222222222,0.9069767441860465,0.8881118881118881,0.636363636363626,0.3844173681699308,0.47080687478001737
3774,Metroid Prime: Trilogy,13,27,99,2009.0,0.61,0.016424340333871836,0.6666666666666665,0.7857142857142857,0.7222222222222222,0.627906976744186,0.6923076923076923,0.5909090909090935,0.45235908390724366,0.5240661924161956
3831,Okami,13,7,97,2008.0,0.6,0.016155088852988688,0.6666666666666665,0.14285714285714285,0.7222222222222222,0.16279069767441862,0.6783216783216783,0.5454545454545467,0.45235908390724366,0.5240661924161956
3834,Suikoden,6,17,63,1996.0,0.6,0.016155088852988688,0.0,0.7142857142857142,0.3333333333333333,0.3953488372093023,0.4405594405594406,0.0,0.40818553948182534,0.44277606029051264
3835,Muramasa: The Demon Blade,13,15,134,2009.0,0.6,0.016155088852988688,0.6666666666666665,0.7142857142857142,0.7222222222222222,0.3488372093023256,0.9370629370629371,0.5909090909090935,0.39645326210167087,0.5105474104105558
4069,Starlink: Battle for Atlas,4,39,131,2018.0,0.57,0.015347334410339255,0.33333333333333326,0.07142857142857142,0.2222222222222222,0.9069767441860465,0.916083916083916,1.0,0.3657590044675687,0.2948086183559251
4120,Tom Clancy's HAWX,8,39,128,2009.0,0.56,0.015078082929456112,0.6666666666666665,0.0,0.4444444444444444,0.9069767441860465,0.8951048951048951,0.5909090909090935,0.3657590044675687,0.4654154445583176
4161,No More Heroes,13,39,51,2008.0,0.56,0.015078082929456112,1.0,0.0,0.7222222222222222,0.9069767441860465,0.35664335664335667,0.5454545454545467,0.40818553948182534,0.45992001765533397
4169,Lunar: Silver Star Story Complete,6,42,46,1999.0,0.55,0.014808831448572967,0.6666666666666665,0.7142857142857142,0.3333333333333333,0.9767441860465116,0.32167832167832167,0.13636363636362603,0.3720619062075722,0.5410713029989174
4267,Hotel Dusk: Room 215,1,27,25,2007.0,0.54,0.014539579967689823,0.6666666666666665,0.14285714285714285,0.05555555555555555,0.627906976744186,0.17482517482517482,0.5,0.39645326210167087,0.36991042244217387
4396,Tales of Symphonia: Dawn of the New World,13,24,79,2008.0,0.52,0.014001077005923531,0.6666666666666665,0.7142857142857142,0.7222222222222222,0.5581395348837209,0.5524475524475524,0.5454545454545467,0.31907721464451644,0.45992001765533397
4521,Fire Emblem Warriors,4,27,88,2017.0,0.51,0.013731825525040387,0.6666666666666665,0.0,0.2222222222222222,0.627906976744186,0.6153846153846154,0.9545454545454533,0.3528914299284248,0.5240661924161956
4629,Fire Emblem: Radiant Dawn,13,27,58,2007.0,0.49,0.013193322563274096,0.33333333333333326,1.0,0.7222222222222222,0.627906976744186,0.40559440559440557,0.5,0.3782806288255718,0.47080687478001737
4814,Silent Hill: Shattered Memories,13,17,27,2009.0,0.47,0.012654819601507807,1.0,0.14285714285714285,0.7222222222222222,0.3953488372093023,0.1888111888111888,0.5909090909090935,0.3528914299284248,0.3623592750447491
4986,L.A. Noire,4,30,118,2017.0,0.45,0.012116316639741519,1.0,0.14285714285714285,0.2222222222222222,0.6976744186046512,0.8251748251748252,0.9545454545454533,0.3904742355680052,0.44277606029051264
5044,Sid Meier's Civilization Revolution,1,0,42,2008.0,0.45,0.012116316639741519,0.33333333333333326,1.0,0.05555555555555555,0.0,0.2937062937062937,0.5454545454545467,0.40818553948182534,0.41824374078951965
5210,Doom (2016),4,5,140,2017.0,0.43,0.011577813677975227,1.0,0.7857142857142857,0.2222222222222222,0.11627906976744186,0.9790209790209791,0.9545454545454533,0.40818553948182534,0.5011395237686023
5404,NiGHTS: Journey of Dreams,13,31,111,2007.0,0.41,0.011039310716208938,0.0,0.5,0.7222222222222222,0.7209302325581395,0.7762237762237763,0.5,0.33289843558163434,0.5011395237686023
5782,Bionic Commando,15,7,45,2009.0,0.38,0.010231556273559504,1.0,0.14285714285714285,0.8333333333333333,0.16279069767441862,0.3146853146853147,0.5909090909090935,0.3396584665698803,0.44277606029051264
5890,Castlevania: Order of Ecclesia,1,17,63,2008.0,0.37,0.009962304792676359,0.6666666666666665,0.5,0.05555555555555555,0.3953488372093023,0.4405594405594406,0.5454545454545467,0.40818553948182534,0.5058844940759826
6165,WWE Day of Reckoning 2,2,37,138,2005.0,0.34,0.009154550350026925,0.6666666666666665,0.21428571428571427,0.1111111111111111,0.8604651162790697,0.965034965034965,0.4090909090909065,0.4139424861270985,0.47080687478001737
6438,Folklore,8,32,49,2007.0,0.32,0.008616047388260635,0.6666666666666665,0.7142857142857142,0.4444444444444444,0.7441860465116279,0.34265734265734266,0.5,0.3657590044675687,0.4812902428469137
6831,Little King's Story,13,43,26,2009.0,0.29,0.0078082929456112,0.6666666666666665,1.0,0.7222222222222222,1.0,0.18181818181818182,0.5909090909090935,0.42524673748515707,0.49631012983250167
